time_hours,scenario_id,scenario_label,proteostasis_capacity_mean,proteostasis_capacity_sd,proteostasis_capacity_p05,proteostasis_capacity_p95,mitochondrial_reserve_mean,mitochondrial_reserve_sd,mitochondrial_reserve_p05,mitochondrial_reserve_p95,inflammatory_dysfunction_mean,inflammatory_dysfunction_sd,inflammatory_dysfunction_p05,inflammatory_dysfunction_p95,commitment_risk_mean,commitment_risk_sd,commitment_risk_p05,commitment_risk_p95,recovery_potential_mean,recovery_potential_sd,recovery_potential_p05,recovery_potential_p95
0.0,ire1_timed,Timed IRE1/XBP1 support,0.78,0.045,0.705975,0.854025,0.8,0.045,0.725975,0.874025,0.12,0.045,0.045975,0.194025,0.1,0.045,0.025975000000000012,0.17402499999999999,0.82,0.045,0.7459749999999999,0.894025
2.0,ire1_timed,Timed IRE1/XBP1 support,0.7523589597932034,0.04611666855381909,0.676497040022171,0.8282208795642358,0.7836382260452514,0.04598005863242514,0.708001029594912,0.8592754224955907,0.13569391873145026,0.04648754687976789,0.05922190411423209,0.21216593334866843,0.09737489469929392,0.04514437814562039,0.023112392649748376,0.17163739674883946,0.811506390456646,0.04540364794030792,0.7368173895948394,0.8861953913184525
4.0,ire1_timed,Timed IRE1/XBP1 support,0.7246538905835408,0.04723552599002088,0.6469514503299565,0.8023563308371251,0.7671455181032538,0.04697029816131545,0.6898793776278899,0.8444116585786178,0.15146083072748784,0.04797019814604812,0.07254985477723869,0.230371806677737,0.09545114337733825,0.04524381845662718,0.021025062016186535,0.16987722473848996,0.8023440759482753,0.04583814360524615,0.7269403297176453,0.8777478221789052
6.0,ire1_timed,Timed IRE1/XBP1 support,0.6968805906165738,0.0483569819135583,0.6173333553687704,0.7764278258643772,0.7505177331837777,0.04797113317197341,0.6716052191158814,0.8294302472516739,0.16730961164238095,0.049448312465846,0.08596713763606428,0.24865208564869762,0.09422911252937116,0.04530252135901371,0.0197064648937936,0.16875176016494872,0.7924893398695125,0.0463098903967391,0.7163095701668767,0.8686691095721484
8.0,ire1_timed,Timed IRE1/XBP1 support,0.6690346699917726,0.049481476238968314,0.5876376415786697,0.7504316984048756,0.7337505235443984,0.04898299755443016,0.6531734925673608,0.814327554521436,0.1832491343961156,0.05092225724343419,0.09948202123066635,0.26701624756156483,0.09370937247689404,0.04532916394630767,0.019142897785217924,0.16827584716857014,0.7819182265486179,0.04682473837233499,0.7048915319261269,0.8589449211711089
10.0,ire1_timed,Timed IRE1/XBP1 support,0.6411115499654073,0.05060947937835918,0.5578589563880064,0.7243641435428082,0.7168393360338532,0.0500063446674934,0.6345788990558265,0.7990997730118798,0.19928827283894918,0.05239240942272705,0.11310275933856317,0.2854737863393352,0.09389270073393886,0.04534198654621304,0.019305132865418406,0.16848026860245932,0.7706065326990758,0.047388006341233774,0.6926532622677462,0.8485598031304054
12.0,ire1_timed,Timed IRE1/XBP1 support,0.6131064621791806,0.05174149243748151,0.5279917071195236,0.6982212172388377,0.6997794113543744,0.05104164752360179,0.6158159011780494,0.7837429215306994,0.2154359054489299,0.053859156299148225,0.1268375933368311,0.3040342175610287,0.09478008542387648,0.045374539200189766,0.02013896843956431,0.16942120240818864,0.7585297986786654,0.04800453102748946,0.6795623451384453,0.8374972522188856
14.0,ire1_timed,Timed IRE1/XBP1 support,0.5850144478135059,0.05287804741979949,0.4980300598079357,0.671998835819076,0.6825657832418509,0.05208939899581964,0.5968787218937276,0.7682528445899742,0.23170091906333137,0.05532289634169643,0.14069475458124076,0.322707083545422,0.09637272874865661,0.04546629375507656,0.021580675521555667,0.17116478197575757,0.7456632995529924,0.04867873050072255,0.6655867878793038,0.8257398112266809
16.0,ire1_timed,Timed IRE1/XBP1 support,0.5751084867082225,0.05392604536957263,0.4864001420752755,0.6638168313411694,0.6651932775626541,0.05315011204823987,0.5777613432432995,0.7526252118820087,0.23651990481664423,0.05665567419699137,0.1433213207625934,0.32971848887069505,0.09867205051239951,0.04563557930644099,0.02360152255330407,0.17374257847149494,0.7386020227036785,0.04913645872520216,0.6577725481007209,0.819431497306636
18.0,ire1_timed,Timed IRE1/XBP1 support,0.5651620252294909,0.055416389836198864,0.47400206394894373,0.656321986510038,0.6477988396131378,0.05421110057981732,0.5586215791593383,0.7369761000669373,0.24140853019954897,0.05800655411365577,0.14598774868258524,0.3368293117165127,0.10130119355007978,0.04587682078085745,0.02583382336556929,0.17676856373459027,0.7311651673551185,0.04966101324420094,0.649472800568408,0.812857534141829
20.0,ire1_timed,Timed IRE1/XBP1 support,0.5551725094092157,0.057186421595649434,0.4611008458843724,0.649244172934059,0.6303796993481253,0.05527278826235917,0.5394559626565445,0.7213034360397061,0.24637090450072635,0.05937064663093498,0.1487061907928383,0.3440356182086144,0.10426057729410078,0.04617422880503884,0.02830397090981189,0.18021718367838968,0.7233409377190493,0.05025423611736687,0.6406727193059808,0.8060091561321178
22.0,ire1_timed,Timed IRE1/XBP1 support,0.545137295595046,0.05913050134582971,0.4478676208811561,0.6424069703089359,0.6129329900769821,0.05633561663969706,0.5202609007046805,0.7056050794492837,0.25141114243701146,0.06074488883265468,0.15148580030729453,0.3513364845667284,0.10755072971087938,0.046521189583819664,0.031023372845496028,0.18407808657626273,0.7151174115896212,0.05091759788895734,0.6313579630622863,0.798876860116956
24.0,ire1_timed,Timed IRE1/XBP1 support,0.5350536499956818,0.06118551693227071,0.4344034746420965,0.6357038253492672,0.5954557480135126,0.057400045306749546,0.5010326734839097,0.6898788225431156,0.25653336601909044,0.062127345122094634,0.15433388329324477,0.3587328487449361,0.11117228894521494,0.04691518739999422,0.03399680567222445,0.18834777221820542,0.7064825357561564,0.05165239602285903,0.6215143442985532,0.7914507272137595
26.0,ire1_timed,Timed IRE1/XBP1 support,0.5249187481873496,0.06331397244482889,0.4207672635156061,0.6290702328590931,0.5779449117835977,0.05846655219139336,0.48176743342875566,0.6741223901384398,0.2617417064337064,0.06351680455426671,0.15725656294193768,0.36622684992547516,0.11512600499291785,0.04735537743016179,0.0372264091203017,0.193025600865534,0.6974241213193489,0.052459884786550205,0.6111276108454738,0.783720631793224
28.0,ire1_timed,Timed IRE1/XBP1 support,0.5147296745808989,0.06549307755334216,0.40699356200565107,0.6224657871561468,0.5603973218900027,0.05953563389358646,0.462461204135053,0.6583334396449524,0.2670403059428993,0.06491253948951575,0.16025917848264587,0.3738214334031527,0.1194127414026699,0.0478416174307702,0.04071328072905292,0.19811220207628688,0.6879298389092702,0.053341352788557554,0.600183313572093,0.7756763642464474
