module,time_hours,scenario_id,proteostasis_capacity,mitochondrial_reserve,inflammatory_dysfunction,commitment_risk,recovery_potential
spatiotemporal_context,32.0,atf6_support,0.5485333068413418,0.5297245100875678,0.4069620881998602,0.12423970309901507,0.6995358432627016
spatiotemporal_context,34.0,atf6_support,0.5329506396907114,0.5115708183533707,0.42537080901877083,0.13046696218522252,0.685101513567947
spatiotemporal_context,36.0,atf6_support,0.5172078930606409,0.4932397410206579,0.4438795439925975,0.13725969983708808,0.6697430265235167
spatiotemporal_context,38.0,atf6_support,0.5012995831156668,0.47472571228339444,0.4624957996829403,0.14462067699482323,0.653440412047998
spatiotemporal_context,40.0,atf6_support,0.4852200762263163,0.45602300599472956,0.4812271211269645,0.15255285778017727,0.6361733851861252
spatiotemporal_context,42.0,atf6_support,0.4689635874128797,0.43712573409327915,0.500081095058555,0.16105941249166641,0.617921337439128
spatiotemporal_context,44.0,atf6_support,0.45252417872144746,0.4180278449570831,0.5190653531636057,0.17014372066360783,0.598663327914406
spatiotemporal_context,46.0,atf6_support,0.4358957575311661,0.39872312168415897,0.5381875753704941,0.17980937419063028,0.5783780742911518
spatiotemporal_context,48.0,atf6_support,0.4190720747916433,0.37920518029854855,0.5574554931768166,0.19006018051936296,0.5570439435984565
spatiotemporal_context,50.0,atf6_support,0.4020467231894098,0.35946746788072914,0.5768768930134808,0.20090016590903462,0.5346389428023441
spatiotemporal_context,52.0,atf6_support,0.3848131352423198,0.3395032606212343,0.5964596196472765,0.2123335787627465,0.5111407091980901
spatiotemporal_context,54.0,atf6_support,0.36736458132074784,0.31930566179630354,0.6162115796230705,0.2243648930312142,0.4865265006040874
spatiotemporal_context,56.0,atf6_support,0.34969416759441324,0.29886759966435167,0.6361407447467949,0.23699881169080647,0.46077318535343104
spatiotemporal_context,58.0,atf6_support,0.3317948339036375,0.27818182528202245,0.6562551556104231,0.2502402702977422,0.4338572320792932
spatiotemporal_context,60.0,atf6_support,0.3136593515538128,0.2572409102385607,0.6765629251601534,0.26409444062034143,0.4057546992900681
spatiotemporal_context,62.0,atf6_support,0.2952803210318322,0.23603724430720943,0.6970722423090472,0.2785667343512606,0.3764412247301622
spatiotemporal_context,64.0,atf6_support,0.276650169643204,0.21456303301230703,0.7177913755953933,0.2936628069016787,0.3458920145222078
spatiotemporal_context,66.0,atf6_support,0.2577611490685429,0.19281029511073083,0.7387286768880976,0.3093885612794367,0.3140818320863712
spatiotemporal_context,68.0,atf6_support,0.23860533283810262,0.17077085998629982,0.7598925851404255,0.3257501520531717,0.28098498683232526
spatiotemporal_context,70.0,atf6_support,0.21917461372298205,0.14843636495571905,0.781291630193451,0.3427539894045228,0.2465753226193458
spatiotemporal_context,72.0,atf6_support,0.19946070104160812,0.12579825248461415,0.8029344366305975,0.36040674327052846,0.21082620597988377
foundation_representation,0.0,atf6_support,0.78,0.8,0.12,0.1,0.82
foundation_representation,2.0,atf6_support,0.7666186666666667,0.7837372888888889,0.1349211111111111,0.0974,0.818010711111111
foundation_representation,4.0,atf6_support,0.7531687827104198,0.7673896780698272,0.1498337325802469,0.09530859986666666,0.8154703199655308
foundation_representation,6.0,atf6_support,0.7396475352995301,0.7509543013442291,0.16474453561085434,0.09372543007080826,0.8123631222849809
foundation_representation,8.0,atf6_support,0.7260519856213075,0.7344281513396856,0.17966017903084278,0.09265026851899945,0.8086732497269759
foundation_representation,10.0,atf6_support,0.7123790684956552,0.7178080791622728,0.1945873118753471,0.09208304263056513,0.804384663974108
foundation_representation,12.0,atf6_support,0.6986255919382721,0.7010907939924518,0.20953257598789762,0.09202383144839792,0.7994811506967447
foundation_representation,14.0,atf6_support,0.684788236672837,0.6842728626238521,0.22450260864063665,0.09247286778483356,0.7939463133871578
foundation_representation,16.0,atf6_support,0.6708635555914962,0.6673507089442222,0.2395040451742384,0.09343054040382671,0.7877635670630454
foundation_representation,18.0,atf6_support,0.6568479731629641,0.6503206133578082,0.2545435216582053,0.09489739624068803,0.7809161318383414
foundation_representation,20.0,atf6_support,0.6427377847875261,0.6331787121484138,0.2696276775722309,0.0968741426606626,0.7733870263591451
foundation_representation,22.0,atf6_support,0.6285291560982279,0.6159209967823714,0.2847631585093369,0.09936164975764944,0.7651590611025381
foundation_representation,24.0,atf6_support,0.614218122207511,0.5985433131506436,0.29995661890151015,0.10236095269438163,0.7562148315359883
foundation_representation,26.0,atf6_support,0.5998005868985448,0.5810413607492512,0.3152147247685812,0.10587325408540708,0.7465367111349777
foundation_representation,28.0,atf6_support,0.5852723217604867,0.5634106917972134,0.33054415649110724,0.10989992642423124,0.7361068442564139
foundation_representation,30.0,atf6_support,0.5706289652668876,0.5456467102911599,0.3459516116080374,0.11444251455600409,0.7249071388653263
foundation_representation,32.0,atf6_support,0.55586602179644,0.5277446709957619,0.36144380763995954,0.11950273819715616,0.7129192591122666
foundation_representation,34.0,atf6_support,0.5409788605952524,0.5096996783691083,0.3770274849387453,0.1250824945034108,0.7001246177587682
foundation_representation,36.0,atf6_support,0.5259627146798127,0.49150668542213083,0.3927094095644303,0.13118386068762264,0.6865043684481426
foundation_representation,38.0,atf6_support,0.510812679679787,0.4731604925111668,0.40849637619018453,0.13780909668891653,0.6720393978188152
foundation_representation,40.0,atf6_support,0.4955237126197803,0.454655746062723,0.42439521103625066,0.1449606478946248,0.6567103174573297
foundation_representation,42.0,atf6_support,0.48009063063916624,0.4359869372294846,0.440412774833745,0.15264114791654568,0.6404974556880693
foundation_representation,44.0,atf6_support,0.4645081096490753,0.41714840047659174,0.4565559658192389,0.16085342142307155,0.6233808491966657
foundation_representation,46.0,atf6_support,0.44877068292560657,0.3981343120971832,0.47283172276105806,0.1696004870287609,0.6053402344839869
foundation_representation,48.0,atf6_support,0.4328727396383113,0.37893868865618346,0.4892470280182594,0.17888556024295527,0.5863550391475109
foundation_representation,50.0,atf6_support,0.4168085233129723,0.3595553853612863,0.5058089106332662,0.1887120564790691,0.5664043729868106
foundation_representation,52.0,atf6_support,0.4005721302276831,0.3399780943600636,0.5225244494591641,0.19908359412620896,0.5454670189297892
foundation_representation,54.0,atf6_support,0.3841575077412069,0.3202003429621039,0.5394007763226845,0.21000399768480635,0.5235214237762197
foundation_representation,56.0,atf6_support,0.3675584525525727,0.3002154917850583,0.5564450792239224,0.2214773009679786,0.5005456887550519
foundation_representation,58.0,atf6_support,0.35076860889084327,0.280016732823447,0.5736646055738613,0.23350775037036148,0.4765175598918635
foundation_representation,60.0,atf6_support,0.3337814666339635,0.25959708743905213,0.5910666654708003,0.24609980820618793,0.4514144181827366
foundation_representation,62.0,atf6_support,0.31659035935557445,0.23894940427169506,0.6086586350168022,0.2592581561184194,0.4252132695707504
foundation_representation,64.0,atf6_support,0.2991884622986521,0.21806635706916905,0.6264479596753076,0.27298769856076766,0.39789073472118475
foundation_representation,66.0,atf6_support,0.28156879027480414,0.1969404424350686,0.644442157671084,0.2872935663544776,0.36942303859143155
foundation_representation,68.0,atf6_support,0.26372419548803083,0.17556397749322844,0.6626488234337029,0.3021811203217771,0.33978599979151325
foundation_representation,70.0,atf6_support,0.24564736528172948,0.15392909746745362,0.6810756310857677,0.3176559549979311,0.30895501973100653
foundation_representation,72.0,atf6_support,0.2273308198076931,0.13202775317519325,0.6997303379771382,0.3337239024238766,0.2769050715480665
prospective_calibration,0.0,atf6_support,0.78,0.8,0.12,0.1,0.82
prospective_calibration,2.0,atf6_support,0.76635,0.7840533333333334,0.1349211111111111,0.09750688888888889,0.8181129777777777
prospective_calibration,4.0,atf6_support,0.752630625291358,0.7680240327604939,0.14983659723456788,0.09550256041234569,0.8157028716795061
prospective_calibration,6.0,atf6_support,0.7388391447563711,0.7519094231691964,0.16475288067904456,0.09398668453278707,0.8127554430148606
prospective_calibration,8.0,atf6_support,0.724972708488377,0.7357067011792863,0.17967637228920819,0.09295906700255256,0.8092563037141802
prospective_calibration,10.0,atf6_support,0.7110283474404289,0.7194129348422031,0.1946134738406512,0.09241965119779577,0.8051909112122286
prospective_calibration,12.0,atf6_support,0.6970029730283822,0.7030250632912135,0.20957058045072152,0.0923685199822834,0.8005445632242199
prospective_calibration,14.0,atf6_support,0.68289337668782,0.6865398963418289,0.22455408300582352,0.0928058976021394,0.7953023924124739
prospective_calibration,16.0,atf6_support,0.6686962293842329,0.6699541140418162,0.2395703706057769,0.09373215161258656,0.7894493609420155
prospective_calibration,18.0,atf6_support,0.6544080810758576,0.6532642661701912,0.254625833025835,0.09514779483775336,0.7829702549233795
prospective_calibration,20.0,atf6_support,0.6400253601285655,0.6364667716845767,0.2697268631969781,0.09705348736462935,0.7758496787408353
prospective_calibration,22.0,atf6_support,0.6255443726821812,0.6195579181162889,0.28487985970511187,0.09945003857226876,0.7680720492641884
prospective_calibration,24.0,atf6_support,0.6109613019675961,0.6025338609125066,0.300091229309817,0.10233840919735832,0.7596215899422651
prospective_calibration,26.0,atf6_support,0.5962722075740309,0.5853906227248594,0.31536738948330856,0.10571971343728202,0.750482324776133
prospective_calibration,28.0,atf6_support,0.5814730246657851,0.5681240926437597,0.3307147709702822,0.10959522109183345,0.740638072170051
prospective_calibration,30.0,atf6_support,0.5665595631478002,0.5507300253777863,0.3461398203693369,0.11396635974474303,0.7300724386580917
prospective_calibration,32.0,atf6_support,0.5515275067793458,0.5332040403774123,0.3616490027366819,0.11883471698620665,0.7187688125043166
prospective_calibration,34.0,atf6_support,0.5363724122351249,0.5155416209023564,0.3772488042128494,0.12420204267761985,0.70671035717433
prospective_calibration,36.0,atf6_support,0.5210897081130792,0.49773811303181603,0.3929457346731531,0.13007025125974142,0.6938800046759772
prospective_calibration,38.0,atf6_support,0.5056746938881593,0.47978872461682837,0.40874633040264685,0.1364414241055291,0.6802604487668918
prospective_calibration,40.0,atf6_support,0.49012253881130835,0.4616885241739867,0.4246571567963569,0.14331781191891038,0.6658341380265361
prospective_calibration,42.0,atf6_support,0.4744282807528916,0.44343243971972107,0.4406848110855758,0.15070183718077154,0.6505832687903164
prospective_calibration,44.0,atf6_support,0.45858682498978776,0.42501525754433556,0.45683592509102505,0.15859609664346902,0.6344897779432921
prospective_calibration,46.0,atf6_support,0.4425929429353396,0.4064316209249756,0.4731171680037113,0.16700336387518844,0.6175353355709318
prospective_calibration,48.0,atf6_support,0.426441270811345,0.3876760287766797,0.48953524919431685,0.17592659185549847,0.5997013374643032
prospective_calibration,50.0,atf6_support,0.4101263082612499,0.3687428342406514,0.5060969210519866,0.18536891562346922,0.5809688974770203
prospective_calibration,52.0,atf6_support,0.3936424169036872,0.34962624320886576,0.5228089818533886,0.19533365497974733,0.5613188397311981
prospective_calibration,54.0,atf6_support,0.3769838188254852,0.33032031278410684,0.5396782786629482,0.20582431724400377,0.5407316906696007
prospective_calibration,56.0,atf6_support,0.3601445950132518,0.31081894967450974,0.5567117102651694,0.21684460006919387,0.5191876709510933
prospective_calibration,58.0,atf6_support,0.3431186837226174,0.29111590852165997,0.5739162301299848,0.2283983943140941,0.49666668718644164
prospective_calibration,60.0,atf6_support,0.32589987878420196,0.27120479016128246,0.5912988494120855,0.2404897869756046,0.47314832351142416
prospective_calibration,62.0,atf6_support,0.30848182784534883,0.251079039815528,0.6088666399852114,0.25312306418233277,0.44861183299415197
prospective_calibration,64.0,atf6_support,0.290858030546647,0.23073194521584406,0.626626737512397,0.2663027142509985,0.42303612887341235
prospective_calibration,66.0,atf6_support,0.27302183663224094,0.21015663465539244,0.6445863445531922,0.2800334308072301,0.39639977562477663
prospective_calibration,68.0,atf6_support,0.25496644399290574,0.18934607496995234,0.6627527337088971,0.29432011597234514,0.36868097985113285
prospective_calibration,70.0,atf6_support,0.23668489664084033,0.16829306944622363,0.6811332508068719,0.3091678836177412,0.339857580994224
