model,bootstrap,log_loss,brier,auc,accuracy
BaselineCovariatesMLP,62,0.6221289183057925,0.21473102066166502,0.8705357142857143,0.75
BaselineCovariatesMLP,63,0.5381784345367364,0.17515081096762258,0.9545454545454546,0.8108108108108109
BaselineCovariatesMLP,64,0.5496494098234668,0.18228886400371902,0.8333333333333334,0.6285714285714286
BaselineCovariatesMLP,65,0.652015470681642,0.2292217535642034,0.6190476190476191,0.6176470588235294
BaselineCovariatesMLP,66,0.5607894932045457,0.1861880724611802,0.9484848484848485,0.7837837837837838
BaselineCovariatesMLP,67,0.5568825862234712,0.1851543276189721,0.84,0.8
BaselineCovariatesMLP,68,0.6299098872363733,0.21941502127458798,0.7481481481481481,0.6363636363636364
BaselineCovariatesMLP,69,0.6182890571467046,0.21513006549913044,0.6428571428571428,0.6363636363636364
BaselineCovariatesMLP,70,0.638385038541935,0.2240115504134592,0.6263736263736264,0.5151515151515151
BaselineCovariatesMLP,71,0.6552568539277519,0.2310336026857679,0.5707070707070707,0.5483870967741935
BaselineCovariatesMLP,72,0.6213015624832225,0.2155877057639931,0.7481481481481481,0.6060606060606061
BaselineCovariatesMLP,73,0.5884888788581538,0.1985292156719716,0.6416666666666666,0.7941176470588235
BaselineCovariatesMLP,74,0.4677942591020885,0.14471521053470338,0.8928571428571428,0.75
BaselineCovariatesMLP,75,0.5307821648836183,0.17289418770389836,0.8428571428571427,0.7567567567567568
BaselineCovariatesMLP,76,0.6009484847454422,0.20551423629595625,0.7083333333333334,0.7647058823529411
BaselineCovariatesMLP,77,0.5676943738953892,0.19143276400691367,0.7266666666666666,0.6857142857142857
BaselineCovariatesMLP,78,0.5919712783067513,0.20101084249761375,0.72,0.8
BaselineCovariatesMLP,79,0.5410185277976671,0.17819186741763568,0.8376068376068376,0.7714285714285715
BaselineCovariatesMLP,80,0.5854844388175584,0.1991021414160993,0.7,0.6857142857142857
BaselineCovariatesMLP,81,0.5363599208522513,0.17551670696857388,0.8571428571428572,0.7777777777777778
BaselineCovariatesMLP,82,0.5530302072358078,0.18249502473046328,0.934375,0.8055555555555556
BaselineCovariatesMLP,83,0.6207275844485953,0.21497916974104372,0.5494505494505495,0.7272727272727273
BaselineCovariatesMLP,84,0.543311100799994,0.1784525824422261,0.90625,0.7222222222222222
BaselineCovariatesMLP,85,0.5824542296173206,0.19649161021225325,0.6640625,0.75
BaselineCovariatesMLP,86,0.5814703858784733,0.1958578415442176,0.6796875,0.75
BaselineCovariatesMLP,87,0.5845819812095422,0.19827219796959664,0.7857142857142857,0.6363636363636364
BaselineCovariatesMLP,88,0.6152078741068959,0.2128087520891954,0.7416666666666666,0.6470588235294118
BaselineCovariatesMLP,89,0.5621274503107876,0.18678149386378667,0.78125,0.8611111111111112
BaselineCovariatesMLP,90,0.617339919147262,0.2135402239817781,0.6098901098901099,0.6363636363636364
BaselineCovariatesMLP,91,0.6419286178825458,0.22432473460117328,0.6130952380952381,0.6176470588235294
BaselineCovariatesMLP,92,0.6347706660243342,0.2211224501008516,0.775,0.6764705882352942
BaselineCovariatesMLP,93,0.5514993063706273,0.18290356268480587,0.9095238095238095,0.7297297297297297
BaselineCovariatesMLP,94,0.48399211668657016,0.1504016990634542,0.8426573426573427,0.8918918918918919
BaselineCovariatesMLP,95,0.486094302117213,0.15149264837950543,0.9785714285714286,0.868421052631579
BaselineCovariatesMLP,96,0.5054429325044223,0.16171058713493094,0.9125,0.7222222222222222
BaselineCovariatesMLP,97,0.5908009136766751,0.20087115588711846,0.8037037037037037,0.6363636363636364
BaselineCovariatesMLP,98,0.5832334529027435,0.19722224752287337,0.782051282051282,0.8
BaselineCovariatesMLP,99,0.5490901688149527,0.1808909740270613,0.937062937062937,0.8108108108108109
LatestRNAMLP,0,0.2400633258951403,0.07481563411445882,0.9541666666666667,0.90625
LatestRNAMLP,1,0.3735625031368314,0.12980822604448777,0.9017857142857143,0.8055555555555556
LatestRNAMLP,2,0.30017152706978206,0.10060330701732761,0.9151785714285714,0.8611111111111112
LatestRNAMLP,3,0.35015762445227483,0.12293394825472713,0.923076923076923,0.8
LatestRNAMLP,4,0.2327329655103108,0.07544901693843048,0.9466666666666667,0.8857142857142857
LatestRNAMLP,5,0.4270274203387353,0.14712938301402884,0.9230769230769231,0.7714285714285715
LatestRNAMLP,6,0.2997382126881487,0.09468445723271007,0.95,0.8823529411764706
LatestRNAMLP,7,0.4590900148286757,0.16866587479531528,0.8533333333333334,0.7142857142857143
LatestRNAMLP,8,0.23019159154536614,0.07083886699807725,0.9541666666666666,0.9117647058823529
LatestRNAMLP,9,0.3232194750302559,0.11338316444892375,0.9241071428571428,0.8055555555555556
LatestRNAMLP,10,0.30321570067348524,0.0956101597738388,0.95,0.8823529411764706
LatestRNAMLP,11,0.29788300596157685,0.11087791814489424,0.9215686274509804,0.7837837837837838
LatestRNAMLP,12,0.14796477283299603,0.0376788968838947,0.9666666666666668,0.972972972972973
LatestRNAMLP,13,0.49019317317388056,0.17332278665709602,0.8986013986013985,0.7297297297297297
LatestRNAMLP,14,0.2903014456997317,0.09187144918137723,0.9444444444444444,0.8888888888888888
LatestRNAMLP,15,0.35322797075905,0.1286140954600925,0.890625,0.7777777777777778
LatestRNAMLP,16,0.1572549590130326,0.04803960407105983,0.9670329670329669,0.9393939393939394
LatestRNAMLP,17,0.26222335574259414,0.08827297834968412,0.9700854700854701,0.8571428571428571
LatestRNAMLP,18,0.2910208462166396,0.09991644349674894,0.9083333333333334,0.8529411764705882
LatestRNAMLP,19,0.17501395131218997,0.05339287677886599,0.9464285714285714,0.9411764705882353
LatestRNAMLP,20,0.16617878272471842,0.05041356891797494,0.9733333333333334,0.9428571428571428
LatestRNAMLP,21,0.22258018770421487,0.07301128778193114,0.96875,0.8888888888888888
LatestRNAMLP,22,0.30895224926506976,0.09795965284864139,0.9518518518518517,0.8787878787878788
LatestRNAMLP,23,0.16050904536444838,0.04231809975015631,0.9874999999999999,0.96875
LatestRNAMLP,24,0.3626002754754899,0.12125190750643752,0.932142857142857,0.8235294117647058
LatestRNAMLP,25,0.30306571519846137,0.10643306629355832,0.9066666666666667,0.8285714285714286
LatestRNAMLP,26,0.20799901701921653,0.06281965064068784,0.9427083333333334,0.9210526315789473
LatestRNAMLP,27,0.29729359312930914,0.08854581952993369,0.96875,0.9117647058823529
LatestRNAMLP,28,0.3853816009058144,0.1365329153140421,0.9097222222222222,0.7777777777777778
LatestRNAMLP,29,0.17696061305760613,0.05302219146894923,0.9583333333333334,0.9375
LatestRNAMLP,30,0.2906475171271794,0.091223866733779,0.937062937062937,0.8857142857142857
LatestRNAMLP,31,0.44700779053994416,0.15667386143595075,0.8811188811188811,0.7714285714285715
LatestRNAMLP,32,0.3601587010580707,0.12658040101691462,0.8846153846153846,0.8
LatestRNAMLP,33,0.4401716043809732,0.15789737163250941,0.8616071428571428,0.75
LatestRNAMLP,34,0.18292224902041762,0.05580260710447106,0.9505494505494505,0.9393939393939394
LatestRNAMLP,35,0.2231145842300692,0.06290417125445688,0.9777777777777779,0.9393939393939394
LatestRNAMLP,36,0.4085912129956822,0.13699453908273077,0.9312499999999999,0.8055555555555556
LatestRNAMLP,37,0.2967767615340214,0.09714372698488677,0.9375,0.8611111111111112
LatestRNAMLP,38,0.2982640483203811,0.10301805225721654,0.953125,0.8333333333333334
LatestRNAMLP,39,0.2930536543327073,0.09740631727180471,0.9416666666666667,0.8529411764705882
LatestRNAMLP,40,0.36394616399624363,0.12689735419934484,0.9291666666666666,0.7941176470588235
LatestRNAMLP,41,0.2623306123653269,0.08634615221766773,0.9285714285714287,0.8823529411764706
LatestRNAMLP,42,0.3061614074145553,0.10755814306094949,0.9340659340659342,0.8181818181818182
LatestRNAMLP,43,0.28101985331316004,0.09163377127850204,0.952991452991453,0.8571428571428571
LatestRNAMLP,44,0.30683288310519513,0.09151779542556909,0.9411764705882353,0.9142857142857143
LatestRNAMLP,45,0.3755748904327214,0.12370848511456327,0.9166666666666667,0.8333333333333334
LatestRNAMLP,46,0.4452267324223648,0.15861350958521495,0.8974358974358975,0.7428571428571429
LatestRNAMLP,47,0.43543025223931026,0.15107803828779154,0.9090909090909091,0.7714285714285715
LatestRNAMLP,48,0.3059388366717284,0.10073153652287392,0.9241071428571428,0.8611111111111112
LatestRNAMLP,49,0.13589000727491288,0.03358430610635527,0.9829059829059829,0.9714285714285714
LatestRNAMLP,50,0.19836495230881032,0.06034765338408163,0.96875,0.9166666666666666
LatestRNAMLP,51,0.3785717702989672,0.12657506869073193,0.9214285714285715,0.8235294117647058
LatestRNAMLP,52,0.2438420256238887,0.08046546988041037,0.9533333333333334,0.8857142857142857
LatestRNAMLP,53,0.23520198190599698,0.07515554010142403,0.9625,0.90625
LatestRNAMLP,54,0.3517446136862947,0.12529677573497236,0.9166666666666666,0.7894736842105263
