representation,evaluation,split,future_state_rmse,future_state_r2,intervention_effect_rmse,intervention_effect_r2,cell_type_accuracy
NoPretrainingMatched,frozen_encoder,donor_holdout,0.5557034749516773,0.7571838209046441,0.37831675375877655,0.33970696592950644,0.5886524822695035
NoPretrainingMatched,linear_probe,donor_holdout,0.5557034749516773,0.7571838209046441,0.37831675375877655,0.33970696592950644,0.5886524822695035
NoPretrainingMatched,peft,donor_holdout,0.5544329167595752,0.7582928994294994,0.38021772570546547,0.3330545927925397,0.5886524822695035
NoPretrainingMatched,full_finetune,donor_holdout,0.3012498860481622,0.9286415877314347,0.3700384020737338,0.36828795107137463,0.5886524822695035
NoPretrainingMatched,zero_shot,donor_holdout,0.736626966630792,0.5733354091644287,0.4167591131491982,0.19869910180568695,0.5886524822695035
PCAPretraining,frozen_encoder,donor_holdout,0.2970282886684597,0.9306275844573975,0.3575313588040452,0.41026929020881653,0.7163120567375887
PCAPretraining,linear_probe,donor_holdout,0.2970282886684597,0.9306275844573975,0.3575313588040452,0.41026929020881653,0.7163120567375887
PCAPretraining,peft,donor_holdout,0.29648247920499476,0.9308822751045227,0.3545257930747552,0.42014268040657043,0.7163120567375887
PCAPretraining,full_finetune,donor_holdout,0.3012120270836127,0.9286594986915588,0.37001328028867925,0.368373841047287,0.7163120567375887
PCAPretraining,zero_shot,donor_holdout,0.5969944200334849,0.719758927822113,0.3694319811469914,0.37035688757896423,0.7163120567375887
CausaFluxFoundation,frozen_encoder,donor_holdout,0.2999365153902648,0.9292624394015293,0.35982204747835916,0.402688181781954,0.7163120567375887
CausaFluxFoundation,linear_probe,donor_holdout,0.2999365153902648,0.9292624394015293,0.35982204747835916,0.402688181781954,0.7163120567375887
CausaFluxFoundation,peft,donor_holdout,0.300372874410104,0.9290564663089255,0.3561575608001412,0.41479247309584116,0.7163120567375887
CausaFluxFoundation,full_finetune,donor_holdout,0.3012154732276568,0.928657889838677,0.3700214633207697,0.3683457838226351,0.7163120567375887
CausaFluxFoundation,zero_shot,donor_holdout,0.5515904535661137,0.7607649564743042,0.3758547300639674,0.34827324748039246,0.7163120567375887
NoPretrainingMatched,frozen_encoder,tissue_holdout,0.5256746164881038,0.725178034859143,0.40748882150398297,0.18903315867734993,0.5514705882352942
NoPretrainingMatched,linear_probe,tissue_holdout,0.5256746164881038,0.725178034859143,0.40748882150398297,0.18903315867734993,0.5514705882352942
NoPretrainingMatched,peft,tissue_holdout,0.5233341191063551,0.7276198045133195,0.41202914895328885,0.17086054663859532,0.5514705882352942
NoPretrainingMatched,full_finetune,tissue_holdout,0.2931657618581187,0.9145240522166448,0.40626514585698426,0.1938964595044313,0.5514705882352942
NoPretrainingMatched,zero_shot,tissue_holdout,0.7513459764128774,0.4385676980018616,0.410755555229675,0.17597848176956177,0.5514705882352942
PCAPretraining,frozen_encoder,tissue_holdout,0.29400895149039324,0.9140316247940063,0.39969628769532345,0.21975329518318176,0.7426470588235294
PCAPretraining,linear_probe,tissue_holdout,0.29400895149039324,0.9140316247940063,0.39969628769532345,0.21975329518318176,0.7426470588235294
PCAPretraining,peft,tissue_holdout,0.29856531891141885,0.9113463759422302,0.4009769333783352,0.21474546194076538,0.7426470588235294
PCAPretraining,full_finetune,tissue_holdout,0.29321099756345986,0.9144975543022156,0.40627598679396704,0.1938534677028656,0.7426470588235294
PCAPretraining,zero_shot,tissue_holdout,0.598496961503056,0.6437610387802124,0.38729235946418206,0.2674292027950287,0.7426470588235294
CausaFluxFoundation,frozen_encoder,tissue_holdout,0.296340076056027,0.9126630133225976,0.3950773107312989,0.23768252366164416,0.7573529411764706
CausaFluxFoundation,linear_probe,tissue_holdout,0.296340076056027,0.9126630133225976,0.3950773107312989,0.23768252366164416,0.7573529411764706
CausaFluxFoundation,peft,tissue_holdout,0.30005393736065794,0.910460206647209,0.3956562893392243,0.23544656170780942,0.7573529411764706
CausaFluxFoundation,full_finetune,tissue_holdout,0.29321372033761034,0.9144960842045466,0.4062216737555554,0.19406896330081136,0.7573529411764706
CausaFluxFoundation,zero_shot,tissue_holdout,0.5675823760218042,0.6796126961708069,0.3842616580926984,0.27884966135025024,0.7573529411764706
NoPretrainingMatched,frozen_encoder,perturbation_holdout,0.5286002607443354,0.694609090847339,0.4374701572610853,-1.1373590001438185,0.6140350877192983
NoPretrainingMatched,linear_probe,perturbation_holdout,0.5286002607443354,0.694609090847339,0.4374701572610853,-1.1373590001438185,0.6140350877192983
NoPretrainingMatched,peft,perturbation_holdout,0.5377742177575198,0.6839168729123061,0.4481705272162759,-1.2431958638829335,0.6140350877192983
NoPretrainingMatched,full_finetune,perturbation_holdout,0.29130239182707734,0.907255223295792,0.4303595626913942,-1.0684428441095122,0.6140350877192983
NoPretrainingMatched,zero_shot,perturbation_holdout,0.762068995623678,0.3652687966823578,0.4711588793976792,-1.4792219400405884,0.6140350877192983
PCAPretraining,frozen_encoder,perturbation_holdout,0.28997412831313324,0.9080990552902222,0.4284862198733771,-1.0504745244979858,0.7485380116959064
PCAPretraining,linear_probe,perturbation_holdout,0.28997412831313324,0.9080990552902222,0.4284862198733771,-1.0504745244979858,0.7485380116959064
PCAPretraining,peft,perturbation_holdout,0.2920659970287006,0.9067685008049011,0.4432856964867204,-1.1945631504058838,0.7485380116959064
PCAPretraining,full_finetune,perturbation_holdout,0.29131413197791733,0.9072478413581848,0.43032794387241247,-1.0681387186050415,0.7485380116959064
