,time_hours,scenario_id,scenario_label,proteostasis_capacity_mean,proteostasis_capacity_sd,proteostasis_capacity_p05,proteostasis_capacity_p95,mitochondrial_reserve_mean,mitochondrial_reserve_sd,mitochondrial_reserve_p05,mitochondrial_reserve_p95,inflammatory_dysfunction_mean,inflammatory_dysfunction_sd,inflammatory_dysfunction_p05,inflammatory_dysfunction_p95,commitment_risk_mean,commitment_risk_sd,commitment_risk_p05,commitment_risk_p95,recovery_potential_mean,recovery_potential_sd,recovery_potential_p05,recovery_potential_p95
21,42.0,stress_only,Stress only,0.1793593299933722,0.0696401418634219,0.064801296628043,0.2939173633587014,0.4221530941174762,0.0683907649899489,0.3096502857090101,0.5346559025259423,0.4767656093351965,0.075756641266198,0.3521459344523007,0.6013852842180925,0.1939359318636574,0.0534101764762959,0.1060761915601506,0.2817956721671641,0.4680474902906548,0.0661424387454699,0.3592431785543567,0.576851802026953
22,44.0,stress_only,Stress only,0.1492353324907709,0.0709303939838924,0.0325548343872677,0.265915830594274,0.401893714422893,0.0696988300962186,0.2872391389146133,0.5165482899311727,0.49587529535684,0.0772333493990961,0.3688264355953269,0.6229241551183531,0.2064085947874869,0.0544143365209153,0.1168970112105812,0.2959201783643927,0.4401573760936976,0.0680914299028092,0.3281469739035765,0.5521677782838188
23,46.0,stress_only,Stress only,0.1189181632884001,0.0722381000227109,8.648875104069753e-05,0.2377498378257596,0.3813720171279072,0.0710302023970225,0.2645273341848052,0.4982167000710093,0.5152488811766563,0.0787156645591647,0.3857616129768304,0.6447361493764823,0.2196379313876461,0.055478908277757,0.1283751272707358,0.3109007355045565,0.4110377158985447,0.0701513289722916,0.2956387797391249,0.5264366520579645
24,48.0,stress_only,Stress only,0.0883994173657641,0.0735643564842029,0.0,0.2094127837822779,0.3605793064434074,0.0723857705275341,0.2415047139256138,0.4796538989612011,0.5348960046841393,0.0802043132417316,0.4029599094014908,0.6668320999667878,0.2336293746026854,0.0566047040308329,0.1405146364719653,0.3267441127334056,0.3806577014011724,0.0723256347314833,0.2616820322678823,0.4996333705344625
25,50.0,stress_only,Stress only,0.057670469721681,0.0749102959388074,0.0,0.1808979065410193,0.3395066493523313,0.0737664515827598,0.2181608364986914,0.4608524622059712,0.5548263863455186,0.0817000501443091,0.42042980385813,0.6892229688329072,0.2483886452090901,0.0577925868747078,0.1533198398001957,0.3434574506179846,0.3489860606684208,0.0746179290500154,0.2262395673811453,0.4717325539556963
26,52.0,stress_only,Stress only,0.0306972748846065,0.064505004604448,0.0,0.1368080074589235,0.3181448729769436,0.0751731919010958,0.194484972299641,0.4418047736542462,0.5750498337983128,0.0832036592388651,0.4381798143503795,0.711919853246246,0.2639217566897718,0.059043470052642,0.1667952484531757,0.3610482649263679,0.3159910447762046,0.0770318812657265,0.1892736000940845,0.4427084894583247
27,54.0,stress_only,Stress only,0.0052080713576537,0.0541247633315624,0.0,0.0942433070380739,0.2964845618353446,0.0766069678811753,0.1704660996708112,0.4225030239998779,0.5955532809821747,0.0847321314683083,0.4561689247168076,0.7349376372475419,0.2801813382904157,0.0602311457408816,0.1811011035466654,0.379261573034166,0.2816783072821798,0.079487522024883,0.1509213335512472,0.4124352810131123
28,56.0,stress_only,Stress only,0.0,0.045,0.0,0.074025,0.2745164729579439,0.0780690806267137,0.1460928353269997,0.4029401105888881,0.6163362555261455,0.0862808356707253,0.4744042808478023,0.7582682302044886,0.2971515784923861,0.0613185180436138,0.1962826163106413,0.3980205406741308,0.246033271747578,0.0819548122164661,0.1112176056514912,0.3808489378436647
29,58.0,stress_only,Stress only,0.0,0.045,0.0,0.074025,0.2522313091298513,0.0795609585774502,0.1213535322699456,0.383109085989757,0.637286461396064,0.0878062542140235,0.4928451732139952,0.7817277495781328,0.3145889056564831,0.0623675428419851,0.2119942976814174,0.4171835136315487,0.209203950033759,0.0844898998563032,0.0702180647701401,0.3481898352973778
30,60.0,stress_only,Stress only,0.0,0.045,0.0,0.074025,0.2296217039786597,0.0810832008135102,0.0962398386404353,0.363003569316884,0.6583789279202185,0.0893374805183707,0.5114187724674986,0.8053390833729384,0.3324330790231518,0.0634498208461265,0.2280581237312735,0.43680803431503,0.1712189680499797,0.0871251522418841,0.0278980926120803,0.3145398434878792
31,62.0,stress_only,Stress only,0.0,0.045,0.0,0.074025,0.2066807045765952,0.0826366347771908,0.0707434403681162,0.3426179687850743,0.679618228868416,0.0908749558334215,0.5301289265224376,0.8291075312143945,0.3506873399642675,0.0645658190801006,0.2444765675775019,0.456898112351033,0.1320633841489913,0.0898623205772915,0.0,0.2798869014986359
32,64.0,stress_only,Stress only,0.0,0.045,0.0,0.074025,0.1834012535671876,0.0842221058896361,0.0448558893787362,0.321946617755639,0.7010089620750808,0.0924191333487431,0.5489794877163983,0.8530384364337633,0.3693550391693967,0.065716029613955,0.2612521704544407,0.4774579078843528,0.0917220350737166,0.09270318523047,0.0,0.2442187747778397
33,66.0,stress_only,Stress only,0.0,0.045,0.0,0.074025,0.1597761880097104,0.0858404777939199,0.0185686020387121,0.3009837739807087,0.7225557507207281,0.0939704779166561,0.5679743145478288,0.8771371868936274,0.3884396374839005,0.06690096739556,0.2783875461182042,0.4984917288495968,0.0517617439628917,0.0923981926302409,0.0,0.203756770839638
34,68.0,stress_only,Stress only,0.0,0.045,0.0,0.074025,0.1358073798619225,0.0874986648735584,0.0,0.2797426835789262,0.7442632446193241,0.0955294658748683,0.5871172732551657,0.9014092159834826,0.4079447067710182,0.0681211686400529,0.2958853843581311,0.5200040291839054,0.0214963195146691,0.0763003645568024,0.0,0.1470104192106091
35,70.0,stress_only,Stress only,0.0,0.045,0.0,0.074025,0.1115504634384864,0.0892243121258931,0.0,0.2583244568855806,0.7661361215118108,0.0970965849488899,0.6064122392708868,0.9258600037527348,0.4278738436476156,0.0693769962518416,0.3137486848133362,0.541999002481895,0.0040004787066881,0.055849179414796,0.0,0.0958723788440276
36,72.0,stress_only,Stress only,0.0,0.045,0.0,0.074025,0.0870838381501603,0.0909118045302951,0.0,0.2366337566024958,0.7881790872960563,0.0986723349493957,0.6258630963043003,0.9504950782878124,0.4482301851116823,0.0706679788895876,0.3319813598383106,0.5644790103850541,0.0,0.045,0.0,0.074025
